Fecha,Categoria,Producto,Cantidad,Precio_Unitario,Total_Venta,Distancia_KM,Nivel_Trafico,Llega_Tarde,ID_Cliente,Edad_Cliente,Gasto_Hist_Cliente
2024-01-01,Abarrotes,Azucar,2,4.13,8.26,12.1,Alto,1,1062,46,22.255806392375654
2024-01-01,Verduras,Cebolla,9,2.54,22.86,4.4,Bajo,1,1084,22,63.93630843107871
2024-01-01,Lacteos,Yogurt,1,6.45,6.45,5.6,Bajo,0,1062,54,54.209318963636186
2024-01-01,Carnes,Pollo,1,19.48,19.48,1.2,Bajo,0,1068,29,77.3849418535655
2024-01-01,Carnes,Cerdo,5,23.26,116.3,1.8,Medio,0,1046,41,48.044090674992184
2024-01-01,Verduras,Papa,2,2.8,5.6,14.9,Bajo,0,1063,62,62.033876203499595
2024-01-01,Lacteos,Queso,2,14.65,29.3,1.0,Alto,0,1005,22,57.786675379769186
2024-01-01,Abarrotes,Conservas,7,6.46,45.22,14.0,Alto,1,1035,35,61.761237083227535
2024-01-02,Carnes,Pollo,8,19.43,155.44,7.2,Medio,0,1089,26,73.6952864736704
2024-01-02,Lacteos,Yogurt,5,6.43,32.15,13.2,Bajo,1,1009,20,77.3390898937852
2024-01-02,Lacteos,Queso,9,14.49,130.41,14.0,Medio,1,1079,55,75.97537837603262
2024-01-02,Verduras,Zanahoria,5,2.55,12.75,8.2,Alto,1,1028,22,79.48852010870289
2024-01-03,Verduras,Zanahoria,2,2.8,5.6,7.5,Medio,0,1056,57,117.80161525590636
2024-01-04,Abarrotes,Conservas,1,6.45,6.45,12.1,Medio,0,1059,58,83.40088787452379
2024-01-04,Abarrotes,Fideos,9,2.72,24.48,2.0,Medio,0,1005,60,146.13152881849072
2024-01-04,Abarrotes,Azucar,9,3.44,30.96,12.5,Bajo,1,1030,56,66.07598960483082
2024-01-04,Carnes,Cerdo,4,22.25,89.0,11.5,Bajo,1,1013,63,82.6433576503293
2024-01-04,Abarrotes,Conservas,9,6.16,55.44,4.3,Medio,0,1035,23,37.0005768959349
2024-01-04,Abarrotes,Azucar,7,3.83,26.81,14.5,Bajo,0,1094,54,60.250972799067924
2024-01-05,Carnes,Pescado,4,23.37,93.48,11.7,Alto,1,1012,39,62.51432027615776
2024-01-05,Abarrotes,Aceite,6,11.63,69.78,9.5,Bajo,0,1064,64,146.88778552856917
2024-01-05,Verduras,Zanahoria,4,2.88,11.52,9.1,Bajo,1,1033,23,42.310011754323476
2024-01-05,Verduras,Papa,3,2.85,8.55,0.5,Bajo,0,1004,34,26.131617181623138
2024-01-05,Carnes,Cerdo,9,20.52,184.68,12.0,Medio,1,1002,64,118.0499302074713
2024-01-05,Carnes,Pollo,6,16.67,100.02,13.1,Alto,1,1093,38,74.57147065686911
2024-01-05,Verduras,Tomate,5,3.6,18.0,6.3,Bajo,0,1001,55,72.99546058910862
2024-01-06,Verduras,Lechuga,3,1.81,5.43,9.9,Bajo,0,1080,44,78.09160567488331
2024-01-06,Lacteos,Yogurt,9,7.52,67.68,11.8,Medio,0,1071,20,67.80786967184164
2024-01-06,Verduras,Cebolla,5,2.71,13.55,14.5,Bajo,0,1094,31,55.89963590734562
2024-01-06,Abarrotes,Azucar,4,3.75,15.0,3.4,Medio,1,1002,41,45.99480493829934
2024-01-07,Abarrotes,Fideos,1,2.26,2.26,1.6,Bajo,0,1095,55,79.16625787093032
2024-01-07,Lacteos,Leche,9,5.9,53.1,11.8,Bajo,0,1088,58,74.20450158625275
2024-01-07,Verduras,Lechuga,9,2.03,18.27,0.8,Medio,0,1033,27,66.54828414757736
2024-01-07,Verduras,Papa,2,2.9,5.8,8.0,Bajo,0,1033,30,24.714709829301245
2024-01-08,Verduras,Lechuga,6,1.93,11.58,14.7,Bajo,0,1015,51,54.118349527927165
2024-01-08,Carnes,Pollo,1,19.63,19.63,2.3,Alto,0,1073,56,111.29441748656059
2024-01-08,Abarrotes,Azucar,9,3.96,35.64,13.1,Medio,0,1062,64,131.4825113746512
2024-01-08,Abarrotes,Arroz,7,4.64,32.48,8.5,Medio,0,1003,58,66.39994809894972
2024-01-09,Abarrotes,Fideos,2,2.28,4.56,4.1,Bajo,0,1019,63,83.68957917711069
2024-01-09,Abarrotes,Aceite,8,12.89,103.12,6.8,Bajo,0,1070,35,59.1957811542398
2024-01-09,Lacteos,Queso,5,16.49,82.45,14.6,Medio,1,1035,46,45.10398732005916
2024-01-09,Carnes,Res,1,29.91,29.91,3.0,Alto,1,1024,37,57.72588909235671
2024-01-10,Verduras,Lechuga,4,2.0,8.0,8.4,Medio,0,1098,53,137.34232380816604
2024-01-10,Verduras,Tomate,2,3.71,7.42,10.0,Alto,1,1012,20,57.37799501380897
2024-01-10,Abarrotes,Conservas,8,6.4,51.2,3.9,Medio,0,1094,40,57.952431993578365
2024-01-10,Abarrotes,Conservas,2,5.62,11.24,12.9,Medio,1,1060,64,109.29183998317819
2024-01-11,Verduras,Cebolla,7,2.43,17.01,9.1,Bajo,0,1028,19,71.47917523536235
2024-01-11,Verduras,Lechuga,5,1.93,9.65,11.7,Bajo,0,1047,48,34.16302780078784
2024-01-11,Abarrotes,Arroz,3,4.45,13.35,5.3,Medio,0,1001,22,34.92285635525779
2024-01-12,Verduras,Tomate,1,3.33,3.33,5.7,Bajo,0,1047,54,103.35119252996955
2024-01-12,Abarrotes,Aceite,1,12.83,12.83,12.2,Medio,0,1061,37,36.18497669101937
2024-01-12,Lacteos,Mantequilla,2,7.86,15.72,3.9,Bajo,0,1035,23,30.800626248363407
2024-01-12,Verduras,Lechuga,5,1.84,9.2,9.0,Medio,0,1088,60,51.73797901854796
2024-01-12,Verduras,Cebolla,9,2.57,23.13,13.1,Medio,0,1050,40,60.01185545276626
2024-01-13,Abarrotes,Aceite,4,11.1,44.4,2.4,Bajo,0,1008,38,25.634042947365103
2024-01-13,Abarrotes,Azucar,8,3.54,28.32,3.9,Alto,1,1065,43,42.45780602838756
2024-01-13,Abarrotes,Azucar,2,3.61,7.22,12.5,Alto,1,1091,25,67.7306223017842
2024-01-13,Lacteos,Queso,4,15.53,62.12,3.6,Medio,0,1069,58,60.65930303079907
2024-01-13,Lacteos,Mantequilla,2,9.35,18.7,1.2,Alto,1,1048,30,66.94312904349641
2024-01-14,Verduras,Zanahoria,9,2.58,23.22,9.9,Medio,0,1019,23,74.08253897530665
2024-01-14,Lacteos,Leche,9,5.3,47.7,13.1,Bajo,1,1071,42,39.70287367310486
2024-01-14,Lacteos,Mantequilla,1,8.27,8.27,6.2,Medio,0,1089,50,34.252647852459646
2024-01-14,Verduras,Zanahoria,1,2.77,2.77,0.7,Medio,0,1078,27,65.56065967537197
2024-01-14,Verduras,Tomate,9,3.42,30.78,13.0,Medio,0,1093,43,26.535100510803886
2024-01-14,Verduras,Cebolla,5,2.45,12.25,8.9,Medio,0,1048,40,68.7791443229656
2024-01-14,Lacteos,Yogurt,2,7.3,14.6,8.1,Alto,1,1080,64,57.12802700551639
2024-01-15,Abarrotes,Fideos,9,2.58,23.22,6.0,Bajo,0,1019,51,66.63316077431422
2024-01-15,Abarrotes,Conservas,4,5.71,22.84,4.6,Bajo,0,1035,25,38.67846194936022
2024-01-15,Lacteos,Yogurt,4,7.3,29.2,6.3,Alto,0,1094,28,27.393359250329965
2024-01-15,Lacteos,Queso,7,15.08,105.56,10.8,Bajo,0,1042,53,92.45274251963619
2024-01-15,Abarrotes,Conservas,6,6.37,38.22,8.5,Bajo,0,1013,39,69.15133156560742
2024-01-15,Verduras,Tomate,6,3.57,21.42,12.0,Medio,1,1042,25,66.19668201510073
2024-01-16,Lacteos,Queso,1,14.21,14.21,11.8,Bajo,0,1060,56,116.75498992914704
2024-01-16,Carnes,Res,2,29.49,58.98,2.7,Medio,0,1049,52,136.92596246510527
2024-01-16,Lacteos,Mantequilla,1,8.02,8.02,1.9,Bajo,0,1092,24,52.8018447628442
2024-01-17,Verduras,Zanahoria,9,2.74,24.66,9.1,Medio,0,1035,24,61.708673242855625
2024-01-17,Verduras,Lechuga,3,1.98,5.94,7.0,Medio,1,1024,63,60.41096493841663
2024-01-17,Lacteos,Leche,6,5.59,33.54,4.5,Bajo,1,1097,53,69.1867324718743
2024-01-17,Abarrotes,Conservas,8,5.84,46.72,5.5,Medio,0,1060,19,60.176156968037716
2024-01-17,Verduras,Tomate,5,3.34,16.7,9.1,Medio,0,1058,20,31.419491769144066
2024-01-18,Verduras,Zanahoria,2,3.08,6.16,10.1,Medio,0,1030,25,54.828500403000476
2024-01-18,Lacteos,Yogurt,4,7.65,30.6,9.7,Medio,0,1062,47,47.02225617549111
2024-01-19,Carnes,Res,1,26.88,26.88,14.7,Medio,1,1023,45,78.44987771768093
2024-01-19,Lacteos,Queso,6,16.48,98.88,13.9,Medio,0,1021,37,57.415141280165585
2024-01-19,Lacteos,Yogurt,2,7.4,14.8,13.0,Medio,0,1098,31,27.058941708413517
2024-01-20,Carnes,Pollo,7,17.15,120.05,5.7,Bajo,0,1073,18,38.33145863948141
2024-01-20,Lacteos,Queso,4,14.34,57.36,14.2,Alto,1,1022,60,107.45873823177666
2024-01-20,Abarrotes,Aceite,5,11.74,58.7,7.8,Bajo,0,1045,52,117.43038064090484
2024-01-20,Abarrotes,Aceite,6,11.14,66.84,3.6,Alto,1,1035,19,29.227468980081866
2024-01-21,Verduras,Papa,3,2.91,8.73,14.6,Medio,0,1025,50,75.36543143080365
2024-01-21,Verduras,Papa,1,3.06,3.06,11.6,Bajo,0,1041,23,28.782439529734948
2024-01-22,Carnes,Pollo,5,16.64,83.2,7.4,Medio,0,1045,29,77.94932966919319
2024-01-22,Lacteos,Yogurt,4,6.92,27.68,2.0,Medio,0,1002,40,29.12149118771889
2024-01-22,Lacteos,Yogurt,3,7.09,21.27,3.3,Bajo,0,1050,48,61.702113731513194
2024-01-23,Verduras,Zanahoria,9,2.76,24.84,3.0,Bajo,0,1007,33,61.49708333415916
2024-01-23,Carnes,Pescado,1,25.05,25.05,15.0,Alto,1,1052,46,57.43375017749831
2024-01-23,Abarrotes,Aceite,6,11.82,70.92,2.4,Alto,1,1099,24,51.5302773181184
2024-01-23,Verduras,Papa,6,3.2,19.2,11.1,Medio,1,1002,44,45.11483729743612
2024-01-25,Carnes,Res,6,26.65,159.9,11.5,Bajo,0,1065,30,20.727246478633596
2024-01-25,Verduras,Lechuga,2,2.05,4.1,3.4,Bajo,1,1081,52,76.58511366543135
2024-01-25,Abarrotes,Arroz,5,4.81,24.05,1.9,Medio,0,1052,35,48.56108776212599
2024-01-25,Abarrotes,Aceite,9,12.27,110.43,13.0,Bajo,0,1064,34,59.521528772446615
2024-01-25,Verduras,Papa,9,3.11,27.99,6.8,Bajo,0,1058,57,96.1477464624734
2024-01-25,Lacteos,Mantequilla,7,8.77,61.39,13.5,Medio,0,1060,40,51.104481316712246
2024-01-25,Verduras,Papa,3,2.76,8.28,14.8,Medio,1,1072,40,62.97940328376094
2024-01-26,Carnes,Res,3,25.6,76.8,0.7,Alto,0,1058,48,37.792134877259315
2024-01-26,Verduras,Lechuga,4,2.11,8.44,10.1,Bajo,1,1005,22,59.61816318208029
2024-01-26,Abarrotes,Conservas,8,5.72,45.76,0.8,Bajo,0,1095,25,66.15338887028801
2024-01-26,Lacteos,Mantequilla,9,9.31,83.79,10.2,Bajo,1,1068,31,24.155258377151597
2024-01-27,Abarrotes,Conservas,9,6.04,54.36,1.1,Alto,0,1012,44,78.79821976153104
2024-01-27,Lacteos,Mantequilla,6,8.48,50.88,13.8,Medio,0,1098,28,22.624137552798167
2024-01-28,Verduras,Zanahoria,1,3.04,3.04,3.8,Bajo,0,1089,39,36.427478450846394
2024-01-28,Abarrotes,Azucar,4,3.51,14.04,3.4,Alto,0,1099,49,39.0153486406967
2024-01-28,Lacteos,Mantequilla,7,9.09,63.63,13.8,Bajo,0,1021,25,64.89151435873985
2024-01-28,Lacteos,Mantequilla,7,7.96,55.72,1.3,Bajo,0,1089,39,52.373373229730305
2024-01-28,Verduras,Cebolla,2,2.3,4.6,10.4,Bajo,0,1079,40,70.44218168067201
2024-01-29,Abarrotes,Aceite,6,12.1,72.6,9.1,Medio,0,1019,40,61.33311812300544
